0	佛罗里达洲的台风，太壮观了！！！ 世界搞笑排行榜的微博视频	那一声炸雷劈的我一哆嗦，手机差点摔了;确定不是p的？;转发微博;	rumor	2019/10/16 22:00
28	据说是美国太空总署拍摄到， 世纪最强太平洋恶魔风暴—#台风# 山竹香港的小伙伴们周末还是家里蹲吧，安全第一！  #今日贴纸打卡# 香港特区·香港IFC国际金融中心	nan	rumor	2018/9/14 9:43
29	#台风山竹#【钱真是大风刮来的】网曝深圳东门老街那里ATM机被吹飞了，到处是钱。 #山竹登陆广东台山# 买买提X的微博视频	钱真是大风刮来的;真是傻得可以才相信ATM机都吹飞了;谁敢捡？;	rumor	2018/9/16 19:05
30	#台风吹来钱#ATM都被吹走了 揭阳·葵潭镇 别动我的蛋白粉啊的微博视频	钱 让我去捡!！;本来以为是钱，结果解释是周黑鸭，瞬间心疼了 ，那么多的周黑鸭，别拉我，我要去捡;@学霸肖大大555;	rumor	2018/9/16 23:35
31	深圳东门步行街的一家银行门口，两箱人民币还没来的及抬上押运车，就被台风刮跑了#台风山竹# 愿所有人平安度过 凯旋杨先生的微博视频	nan	rumor	2018/9/16 13:49
32	台风山竹广东登录，弟弟从惠州发来的视频，太可怕了，朋友圈好多同学朋友都在说害怕，随时准备逃走，敬畏自然，希望山竹轻虐 冬冬的玉露琼浆的微博视频	回复@喜欢草莓加可乐:后续才知道了;这好像是香港;@建义_Diary  太特么吓人了;	rumor	2018/9/16 21:35
33	台风山竹肆虐广州！网友：感觉世界末日要来了，恐惧加心疼！#台风山竹袭来##台风山竹# 赤道蚂蚁的秒拍视频	🙏;气象局已经辟谣这个视频了;这段视频都发过多少次了，要不要这么假;	rumor	2018/9/16 12:41
34	美国太空总署拍摄到世纪最强太平洋恶魔风暴－“山竹”，据传刚落成的珠港澳大桥最高抵御至16级强风，而“山竹”会是强度高达17级的超大型台风🌪🌪🌪🌪这周六晚就要登陆珠江口香港澳门一带了。。	这个是美国的啥飓风不是“”山竹”;回复@吕珥阿:就是个意思示意;这个是美国的啥飓风不是“”山竹”;	rumor	2018/9/13 23:41
35	深圳平安大厦已触及最大摆幅2米，台风中心还没到，细思恐极 尽量远离高层建筑	;玻璃没掉 那视频仔细看不是玻璃好不;那不是玻璃幕墙好不，是避难阑珊。;	rumor	2018/9/16 14:09
36	深圳平安大厦  下玻璃[捂脸][捂脸][捂脸]这个15级的台风不得了 遵义·大连路 小程飞哥的世界的微博视频	装饰的板;招聘合伙人：        男女不限，年龄22至35岁，高中及以上学历，形象气质佳！待遇面谈，望各位亲友推荐……推荐成功定酬谢[抱拳][抱拳][抱拳]  联系电话；17716663256 微信号；cf520311;	rumor	2018/9/16 15:36
37	#山竹#【台风“山竹”正面袭击粤西】9月15日08时台风“山竹”(超强台风级)中心位于距离湛江东南方向约1130公里的菲律宾吕宋岛北部境内，中心附近最大风力16级，预计即将移入南海东北部海面，趋向我省西部沿海，并将于16日下午到夜间以强台风级到超强台风级（14到16级）在台山到徐闻之间沿海地区登陆，正面袭击粤西。请有关方面密切注意“山竹”动态，提前做好相关防御工作。湛江市气象台15日08时30分 庄雨的秒拍视频	假的;这不是山竹。官方那边已经辟谣了。;假的;	rumor	2018/9/16 0:09
38	太空中拍的台风山竹，真的太可怕了，望大家平安 搞笑金鹰的秒拍视频	回复@有只小猫她很乖:佛罗伦斯;番茄！;@三等乐色  台风山竹;	rumor	2018/9/16 10:00
39	超强台风山竹登陆广东，目前深圳东门现况。 鉴笑师的微博视频	还好有人说这是以前的  吓死;这是以前的了好么;台风登陆过后风向会变的，所以还是保命要紧;	rumor	2018/9/16 12:21
40	#台风山竹# 来了！#台风山竹袭来# 商丘那点事的秒拍视频	上述视频是NASA宇航员在太空拍摄到的飓风佛罗伦萨，不是“山竹”。人民日报都已经辟谣了;不是山竹 请别再传了;美国飓风佛罗伦萨;	rumor	2018/9/16 10:48
41	台风山竹即将登录广东，广东的朋友们一定要注意安全！希望大家都能安全度过。 扒贤王的秒拍视频	假的 刪了吧;希望一切平安！;	rumor	2018/9/16 0:16
42	这个景象和2008年汶川地震时一模一样，当年亲身体验过地震，现在看了这个样子都后怕#台风山竹##超强台风山竹# 夜猫子半夜不睡觉的秒拍视频	表示看完睡不觉;这是美国;	rumor	2018/9/16 12:18
43	山竹，珠海实拍#台风[超话]# 维京人来袭的秒拍视频	回复@维京人来袭:这不是我们大广东的视频，我们车牌一般都是蓝色的。。;好早就有了;回复@纯良寒:好多不在广东地区的人是不知道多害怕，真的害怕很;	rumor	2018/9/16 11:41
44	来自美国太空总署拍到的广东特大台风山竹， 世纪最强台风，现在广州有雨，还没感觉到台风的威力。听说珠海已经开始登陆了。#台风山竹# #广东台风# 夏日科技的秒拍视频	回复@Mr荣_0:嗯，我看到了，这个不是山竹;大哥已经辟谣了;回复@于智明0:现在有感觉了啊，是中午没感觉。;	rumor	2018/9/16 12:14
45	#深圳台风# 深圳平安大厦达到最大2米摆动值一鹿着迷0420的微博视频	不是平安大厦吧;平你🐴的大厦，别造谣;又要造谣，这栋楼不是平安大厦;	rumor	2018/9/16 14:42
46	#台风山竹# 航拍的台风山竹全貌，世纪最强台风！ 鹤发童颜一老翁的秒拍视频	🙏🙏;	rumor	2018/9/16 14:18
47	#台风山竹# 深圳市三点要统一停水，盆友们赶紧囤水啊	注意安全;我是在我们职工群里看到的消息，可能不准确。不过以防万一，大家能囤水就囤点吧 评论配图;该停的已经停了，没停都还没有;	rumor	2018/9/16 14:25
48	#台风山竹袭来# 深圳新闻网9月16日13	此贴被举报为造谣贴，且受理。;你的微博提到本地大V，想让你的微博获得更多关注，欢迎使用同城爆料>>http://t.cn/RWaGLgH;恶意造谣生事者有之。;	rumor	2018/9/16 14:16
49	#台风山竹# 据说这是在深圳东门步行街、一家银行门口一箱人民币还没来得及抬上押运车、就被台风刮跑了。（视频来自朋友圈） 我爱掸东的微博视频	眼看着钱就在眼前不敢出去拿;我要报警，山竹抢劫运钞车;山竹抢银行了;	rumor	2018/9/16 14:39
50	#台风山竹##超强台风山竹##台风山竹袭来##山竹台风路径##台风山竹 广东##山竹来了# 释梦师的秒拍视频	这个是谣言，是在美国发生的。刚看完辟谣。;就像好莱坞灾难片;辟谣，这是发生在美国。。跟这次山竹没半毛钱关系;	rumor	2018/9/16 13:26
51	山竹台风路径马上到达广州啦！12点以后不要出门 广州·人和镇 芳香世家方加贝的秒拍视频	这是几年前的视频了。;造谣你妈呢 这是几年前的视频;这是美国的视频，而且是特效，;	rumor	2018/9/16 11:52
52	#台风山竹##台风[超话]# 深圳地标，平安大厦，开始掉玻璃了[疑问]你还扛得住吗？这台风太吓人了。希望大家都平安无事 股道笔记的微博视频	造谣信息，随手举报;假的，官方已经辟谣。那是拍摄者窗户外的水珠;已辟谣，平安大厦并没有玻璃掉落。只是一些杂物纷飞，错觉。望不要散播谣言;	rumor	2018/9/16 14:59
53	#台风山竹# 【扩散扩散】重要信息！刚咨询单位工程师，家里的空调尽快关了，风力太大会影响外机运作 ，可能风力压过空调外机散热，风机逆转 ，容易引起两股电流相撞烧机甚至爆炸。ps.已有朋友家空调刚刚爆机。	;谣言！刚刚已经辟谣了;	rumor	2018/9/16 16:15
54	#装修万里行[超话]# 深圳朋友发来的视频，令人感到恐惧的山竹台风。幸好赶在台风来临之前，回到了上海。#带着微博去旅行# 我的河畔小城的秒拍视频	深圳现在很平静，台风还在500公里外，30公里左右速度靠近，预计明天上午10-12点登陆，这视频是假的。;@homgirl47;你的辨别能力不行啊;	rumor	2018/9/15 23:45
55	#台风山竹# 天生异象 必有妖孽！ A股道场的秒拍视频	@我是大白云阿;刚刚吗;太恐怖了;	rumor	2018/9/16 1:04
56	#光影秀[超话]#山竹台风[晕] 中华新闻焦点的秒拍视频	不是说假的吗;你身为黄v发这个n年前的视频 引起恐慌真的好吗;	rumor	2018/9/16 7:14
57	有没有灾难片大片的赶脚#台风山竹# 糗事星君的秒拍视频	回复@流沙包与蟹黄捞:不要慌，做好安全准备措施;恐怖;只想知道这是哪里;	rumor	2018/9/16 8:23
58	#广东停课# 天空的鸟儿在寻找安生之处 ，这样的天气你会想到谁，希望台风温柔一点希望一切平安 重庆·城南街区 你确实很下饭的秒拍视频	回复@川金王:哈哈哈 管你屁事 你不觉得很可怜迈;;你真的好傻啊;	rumor	2018/9/15 23:38
59	大的天灾前夕，动物总是最先感应到的，但愿这次台风过境不要太猛烈。😱😱😱😱 微博视频	哈哈哈 官方钦定造谣;@就想早睡觉;哟，骚猪，道德绑架别人又来这里骗粉了？我的小宝贝。你真是6啊。;	rumor	2018/9/15 23:43
60	#台风山竹#        强台风“山竹”来袭将严重影响我市，广州市从2018年9月15日18时30分开始启动防台风I级应急机制，除特殊行业外全市实行停工、停产、停课！ 郑姑凉zheng的秒拍视频	回复@郑姑凉zheng:这是美国飓风，几个月之前的！;回复@Julia妹妹桑:这是山竹在太空中拍的，台风来临不要出门做好预防措施;这个貌似不是山竹，是之前美国的一个台风;	rumor	2018/9/16 1:28
61	山竹台风直奔珠三角，各位朋友注意安全了。 AnsonLu盧安順的秒拍视频	回复@伊路锐歌_zyR:这假的啊，好早以前就看过啊;在哪拍的？;	rumor	2018/9/16 0:47
62	刚刚看到，太恐怖！广东的朋友多多注意安全🙏#超强台风山竹# 荣和烧坊茅台酒·李峰的秒拍视频	再次申明，我写得很清楚，这是他转发的台风视频，并不是广东现场拍摄，可能是美国或别的国家视频。–转朋友的声明;此刻，不是甄别视频的时候，而是应该我们大家奉上心中的祈福，共同祈福台风所过我国土灾害降至最低🙏国民平安🙏我相信意念的力量可以与自然有互动的作用。更何况视频是刚刚通过媒体朋友发过来的。;	rumor	2018/9/16 8:35
63	超级台风“山竹”每小时释放的热量的可怕让鸟类如此恐惧。。。我们人类也无济于事。 亚洲电视何镇宇的秒拍视频	视频很早之前的，请别用假视频制造恐慌，热度不是这么蹭的🙏;假视频;别造谣，群众可以把你送监狱;	rumor	2018/9/16 7:40
64	重大灾害！青岛刚刚突降台风自然灾害，已经出现人员伤亡！ 山东收藏网的秒拍视频	造谣零成本？这个视频都多久的了;渡劫呢吧，我的天哪;这是人被卷到天上了？;	rumor	2018/6/13 20:24
65	今天是kimi的生日，抱歉爸比在珠海比赛没陪在你身边!但是今天车队拿到了混合组的冠军奖杯，[給力]等老爸再带回家当你的生日礼物!因为强烈台风要来的关系，明天的赛事也取消了，珠海站算是结束了，接下来准备迎接“山竹台风“周围地区的朋友们一定要做好防台准备，小心安全!  [组图共9张] 原图	生日快乐啊kimi！爱你;生日快乐，快高长大！;#林志颖[超话]# kimi生日快乐🎂🎂🎂，台风来了，注意安全，早点回家;	non-rumor	2018/9/15 19:16
66	今天像个难民 害怕明天台风登陆影响出现  下午临时决定提前来hk了到酒店已经快九点 收拾完毕 迅速下楼吃饭 烧腊店的爷爷人真的超nice 看我渴了还一直给我倒茶作为从来没见过台风的内地人 我真的有点害怕 毕竟这次是超强台风 我今天还是想念留守儿童陈奇慢  原图	注意安全。万事小心;注意安全啊。尽量不要外出了，回来了 带小菠萝来我家打游戏;	non-rumor	2018/9/15 23:59
67	今天异常的高温闷热，明天“山竹”登陆，据说这是今年最强的台风，下班买了些吃的和一大桶矿泉水，累哭！	这种情况就得赶紧找个男盆友;回复@被你发现了我是GLF哟:可不是么;抱抱，对于你来说的确太重了……;	non-rumor	2018/9/15 23:59
68	什么叫别的省在担心广东人民的安全，而广东人在担心放不放假????难道会有人台风天放假去爬山玩水吗？那是脑子有问题的人才会做的事情！！！沙雕网友抖你🐴 机灵呢！不放假出去吹风啊？？？？上班上学路上是防空洞啊风不怕雨不怕啊？？	nan	non-rumor	2018/9/15 23:59
69	"山竹"就要来了，好紧张~没经历过台风，好期待~ 深圳 疯疯_xiao汐汐的微博视频  显示地图	nan	non-rumor	2018/9/15 23:59
70	因为大台风，偶的宠物乐园一天游取消了  原图	nan	non-rumor	2018/9/15 23:59
71	看到了铺天盖地的台风“山竹”的新闻，想起了两年前第一次亲身体验南方沿海城市台风登陆前夕的场景，大街上到处都是摘广告牌、给树木加固和在超市疯狂抢购的人。整个三亚到处都是东北大妈，我走在马路上整个人脑袋一片懵……所以啊最难受的时光和最快乐的时光 都会在人的记忆里留下不可磨灭的印象，不管时间过去多久 还是会常常想念❤️ 原图	nan	non-rumor	2018/9/15 23:59
72	暴风雨前的宁静...双台风百里嘉和山竹要来了  原图	nan	non-rumor	2018/9/15 23:59
73	下课迅速赶往机场，厚厚的云层充满压迫感作为一个亲身经历过台风🌀的娃，很是幸运的躲过了“山竹”，妥妥滴抵达帝都越努力越幸运👍  [组图共2张] 原图	nan	non-rumor	2018/9/15 23:59
74	山竹来临前的傍晚。今日的朋友圈主题除了台风就是婚礼啦～亚洲团长和周迪学姐终于修成正果这样的晚霞做背景，真美。 香港特别行政区·长沙湾  显示地图 [组图共6张] 原图	nan	non-rumor	2018/9/15 23:59
75	我——一个珠海人民，因为山竹台风，现在大半夜不敢睡 珠海  显示地图	nan	non-rumor	2018/9/15 23:59
76	哎 大概温暖就是zbw跟我说还好我在上海了 不然这个台风我在深圳就很可怕了 哭唧唧 还有人关心我 哈哈哈哈哈哈哈哈哈	nan	non-rumor	2018/9/15 23:59
77	【#台风山竹# 已致广东2人死亡 澳门15人受伤】今天下午，台风“山竹”在广东台山海宴镇登陆，登陆后继续往西南阳江方向移动，风力持续减弱：① 截至20时，“山竹”致广东省2人死亡；② 截至今晚19时，澳门共15人受伤； ③港珠澳大桥整体运行情况平稳，目前有83位工作人员在桥上值守；④20时，广东省防总将防风Ⅰ级应急响应降为Ⅱ级（央视新闻）http	为坚守在岗位上的工作人员致敬;年纪大了看什么都想哭;向最美的人致敬;	non-rumor	2018/9/16 22:11
78	【16日21时起，广州部分区台风预警已由红色降为橙色！】台风“山竹”目前处于阳江市阳春境内，强度减弱为台风级，并继续向西偏北方向移动远离我市。16日21时起，广州部分区台风预警已由红色降为橙色！	nan	non-rumor	2018/9/16 23:59
79	能这样聊天无拘无束的说话，是这辈子从未想过还有可能发生的。六年了，再次轮回。谢谢你的关心。这缘分怕是断不了吧！亲爱的～朋友。台风天最温暖的存在。	回复@菏馬公主:;滴滴滴 前男友来电;	non-rumor	2018/9/16 23:59
80	那什么！我希望今晚睡个好觉！台风不要太猛烈了！我能做的防护已经做完了！希望山竹您悠着点🙏🙏🙏  原始用户	nan	non-rumor	2018/9/16 23:59
81	0916 今天和台风一起过生日 生日快乐	HBD;	non-rumor	2018/9/16 23:59
82	和谐的一年又八天把昨天没吃完的萝卜排骨汤热了一下。这是我自己一个人住之后，第一次早上做饭，也是我第一次在家吃早餐。好安静。跟想想说了早安。打车上班。天气预报显示几天是台风黄色预警。看着车窗外，天空被乌云笼盖，路边平时随风飘荡的枝叶也静了下来。到了砚咖啡，开始打扫卫生，早测豆子。傅哥来了，他分配了下午的任务给我，就是打包各种东西。傅哥要去新店看施工的进展情况。弹吉他，写了一首歌，副歌有一段说唱，却总是唱不好。打包磨豆机，磨豆机的插头线被其他线卡住，我得要先把其他线拆下来，才能卸下磨豆机。拆咖啡机的排水管和滤水器的管道。弄完了，不知不觉一个小时过去了。吃午饭，点了一盘青菜和一盘回锅肉。打包要去新店的各种东西。写清单。打包完之后，已经下午5点了。打扫卫生，有点累。下班了，回家做饭，打车到家附近的超市买菜。做了一盘回锅肉，一盘炒青菜和一锅汤。想想和小美来了，三个人边吃边看延禧攻略。又做了一盘牛肉串。想想切了根红肠，可是太冰了，小美不让她吃。我偷偷的拿几片给想想吃，小美没有发现。小美和想想回去休息了。躺在床上写下今天的日记。今天就这样吧和谐的一天 [组图共4张] 原图	果然红肠是你拿给她吃的;哈哈哈 想想和小美都好可爱哦;你这么说她不就知道了吗！！！;	non-rumor	2018/9/16 23:59
83	转眼2年了 真快 今天广东是世纪台风天 各地都有灾情 你那边天气好吗 差点都忘了是你的忌周年 赶在2018.9.16 23	挺好的;	non-rumor	2018/9/16 23:59
84	又是一个台风天…大概像步履不停里那样吧…老奶奶变成蝴蝶飞走了…  原始用户	nan	non-rumor	2018/9/16 23:59
85	#cv乘风归去[超话]##写给乘风归去的365封信# 第一百八十六封信晚上好，今晚的直播听的游戏卡，听蝈说话就不了，估计是台风的原因吧今晚的蝈还是很温柔的最喜欢每次直播听蝈的笑声了，真的很有感染力啊晚安啦顺便再求下助攻了顺便晒下我新头像澜殇2018.09.16#今日贴纸打卡# 原图	nan	non-rumor	2018/9/16 23:59
86	#台风天🌀#  风很大 希望明天醒来能下大雨  原图	快去捡点药吃吧，;希望台风过后 太阳很大但是它不会晒黑我;还希望明天可以不用再喝白米粥配青菜;	non-rumor	2018/9/16 23:59
87	台风导致广东2人死亡，台风山竹，风雨无情，人间有爱，致敬，最美的追风者！  微博视频	nan	non-rumor	2018/9/16 23:59
88	三人分别在广东三个地方，一整天在群里讨论台风去向……我这快走了，快到你那里了…	nan	non-rumor	2018/9/16 23:59
89	台风导致广东2人死亡 路上一定不能有群众，但是必须有他们！点赞，转发！ 贵阳头条排行榜的微博视频	谢谢你们，逆风而行的人们，请你们务必注意安全！;你的微博怎么能少了我的足迹呢~;我都躲到上海来避山竹了;	non-rumor	2018/9/16 23:59
90	【长沙南站受影响停运的列车将恢复开行】随着强台风“山竹”影响逐步减弱，经铁路部门专业技术人员检查线路，确认安全后，9月17日广东、海南铁路省内高铁及普速列车将逐步恢复开行，具体情况如下：①http	nan	non-rumor	2018/9/16 23:59
91	【#美团回应外卖员台风天摔倒#：买饭的是大学生】9月16日，一则“美团外卖小哥台风天送外卖摔倒”的视频广为流传。众多网友表示很心疼，并谴责外卖平台。@美团 辟谣称，此人并非美团小哥，而是拿饭时不慎摔倒的某高校大学生。新京报我们视频的秒拍视频、@新京报	在宿舍，摇骰子，谁输了谁去买饭;不能穿个黄色衣服的就是外卖小哥啊;强烈建议把造谣写进刑法。。。转发10次就立法的那种;	non-rumor	2018/9/16 23:59
92	【丛林大冒险！台风山竹过后，广东人这样上班：越过山丘，才发现无人等候】9月17日，台风“山竹”过后首个工作日，深圳街道上到处都是被台风刮倒的大树，很多前往附近写字楼上班的市民只能爬树通过。深圳人“攀山越岭”都要去上班！不少人手脚并用，还有阿姨拿起手机拍照留念。@一手Video #没什么能阻挡深圳人民上班# http	快来，梨哥送福利啦！在梨视频微信回复“我想读书”＋书名，梨哥每周抽10人，送你想读的书。包邮～;大风大浪也阻挡不了我热爱工作;老板我今天可能会迟到 什么理由 我在爬树;	non-rumor	2018/9/17 16:15
93	#台风山竹来袭#9月17日受台风“山竹”影响，河池市金城江区老地委一栋居民房10人因大雨被积水围困，当地消防部门接到群众报警后第一时间赶到现场，救援人员分别在走道阳台上架设疏散楼梯，徒步涉水进入走道，将被困的10名群众安全转移。广西消防的秒拍视频	nan	non-rumor	2018/9/17 23:59
94	是超开心的一天啦今天就是17岁的人了 台风停课正好可以在家里过生日了哈哈哈哈哈哈开心喝了超爱的双响炮 买了超久没吃的炸鸡 收到了大惊喜 炸鸡真的好大一份吃撑了哈哈哈哈哈嗝今年的蛋糕超喜欢啦 美滋滋的一天耶❤  [组图共5张] 原图	nan	non-rumor	2018/9/17 23:59
95	那瞬间我竟然把台风天有没有给我发来慰问当成检验友情的标准，回想起来真可笑，大家都有自己的生活的，原来我对感情的要求已经苛刻到从出了事来帮忙升级到没啥大事就得惦记着我嘛，我忏悔	nan	non-rumor	2018/9/17 23:59
96	收到啦💗💗💗💗💗本来应该昨天收到的 可是台风所以今天才收到敲喜欢！！！蟹蟹小姐姐小心心给您@sweetiemiffy  [组图共4张] 原图	呸 因为台风 鸡冻到打少两个字了;	non-rumor	2018/9/17 23:59
97	昨天台风🌀宅家里的好处 http	nan	non-rumor	2018/9/17 23:59
98	#台风# 福州 ZTF天福的微博视频  显示地图	nan	non-rumor	2018/9/17 23:59
99	【牛弹琴：这场超级台风暴露了中国经济四个意味深长的问题】      魔鬼藏在细节里。“山竹”台风席卷中国南方，大楼摇晃，海水倒灌。这场超级台风在造成危害的同时，也暴露出中国经济四个意味深长的问题……（来自@界面 ）这场超级台风暴露了中国经济四个意味深长的问题  原图	nan	non-rumor	2018/9/18 23:59
100	@广州供电  @广州日报  @沙地直街  滨江东路沙地直街整个片区至今仍未通电，台风已过去50个小时有多，至今没有电，也没有通告，没有人解释，片区市民个个傻傻地等着来电，请问怎么解释！周边的卖蜡烛的档口抬高价格，因为没有人知道什么时候会有电，无办法只能高价买蜡烛，甚至没有得买！请尽快解决沙地直街整个社区的用电问题 [组图共9张] 原图	@mi婷ke: @mi婷ke: 辛苦供电局的工作人员了，爸爸说19日凌晨1点10分来电了，谢谢你们！;你的微博提到本地大V，想让你的微博获得更多关注，欢迎使用同城爆料>>http://t.cn/RWaGLgH;	non-rumor	2018/9/18 23:59
