0	安徽一男子给狗取名"城管"，被行政拘留十日…	这种繁体的……;这TMD口袋罪，早晚要废除它！罪刑法定路上的阻碍！;;	rumor	06月13日 04:49
11	#绍兴越城区城管上演全武行#希望大家转发！！！绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的狗，在温馨花园 城管在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声。[心碎][心碎][心碎][心碎]狗是主人的全部，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了巜物权法》！请大家打电话投诉举报绍兴城管非法抢夺主人私有财产的违法行为！地址：绍兴市越城 区凤江路城南街道温馨花园 。绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话	绍兴城管发通报了，狗是禁养犬，没有牵引，劝阻后还不配合，他们是正常执法，没有发生肢体冲突。;大家快去看这个大v发的！！真的要气死人了！！ 评论配图;回复@隐身肥仔:是因为这只狗在街上到处流窜，吓到路人，警察查看监控，这一段确实没有牵绳，后来找到了主人，才拴的绳。;	rumor	05月12日 15:14
12	#绍兴越城区城管上演全武行#「请将农民工的“家人”还给他」昨天，5月11日上午十点左右，在中国浙江省，绍兴市越城区，凤江路城南街道温馨花园，发生了一起绍兴城管部门工作人员“用权任信” 围攻强抢有主犬的恶性事件！据了解，当时狗在没有伤人&带有牵引绳的情况下被当地城管执法人员们强行抢走！虽然当时主人拼尽全力想保护自己的爱犬，但终因寡不敌众而告失败！场面极度凄惨，引起大量民众围观。影响极为恶劣。据悉，犬只的主人是一位进城工作的农民工兄弟，背井离乡谋生，远离家人&亲朋好友，这个狗可以说是他视为家人的精神依托+私有财产。野蛮粗暴执法显然已严重违反了巜物权法》！更是对农民工这类社会弱势群体的一种轻视！作为执法人员更要懂法手法，不要辜负了国家赋予的神圣执法权！广大守法公民强烈要求，尽快将犬只归还给它的主人—农民工。并严惩违规执法的责任人员！以平民愤！	绍兴城管发通报了，狗是禁养犬，没有牵引，劝阻后还不配合，他们是正常执法，没有发生肢体冲突。;	rumor	05月12日 20:19
13	【急急急!🆘🆘🆘城管野蛮粗暴强制抢狗!】请大家打绍兴政府热线0575-12345，绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的狗，在温馨花园城管在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声，谢谢🙏🏻狗是主人的全部，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！狗是主人的私有财产，城管野蛮粗暴执法严重违反了巜物权法》！请大家打电话投诉举报绍兴城管非法抢夺主人私有财产的违法行为！绍兴市越城区凤江路城南街道温馨花园@导演乔乔JOJO @澎湃新闻 @动物救助天使 @生命的呐喊999201906 @晚舟入旧梦 @昆明社会爱心流浪动物救助家园 @爱你到永远-请给流浪动物一个家 @宠物互助珠海站 @独特气质保护动物 @成都爱之家动物救助中心 @宠爱有家青岛流浪动物救助 @宠物猫科医生毛军福 @福建省素馨小动物保护中心 @广州爱护流浪动物协会 @贵阳简爱狗狗之家 @深大动物保护平台 @汕头流浪天使驿站 @小动物保护-拯救国犬 @淄博市汪汪喵流浪小动物救助中心 @来福小院流浪动物救助 @兰州流浪动物救助 @南京平安阿福流浪动物救助中心 @陕西渭南小动物爱心之家 @北京保护小动物协会 @杭州动物保护志愿者团队 @鬼头蛏子 @梅青呼吁动保法 @上海反虐杀 @浙江省小动物保护协会 @郑州三好宠物救助 http	nan	rumor	05月12日 14:50
14	黑人城管大队#凯勒奇计划#	你要给百姓平价肉，我就派垃圾车来装；你要做大做强国企，我就贱卖私有化；你要搞一带一路我就开国门迎接外国人永居条例，深层了解请关注@思想火炬@全国人大  @钧正平;完蛋，他们想当世界精英了。;我加籍外交官华裔中国gwy参事王辉💊，难民接收我建议，移民局10年深耕我推进，中国双国籍我赞同，外国人永局条例我居功至伟，不用谢，以后大家都是二等中国人;	rumor	03月12日 16:14
15	#深圳警察打人# 执法者知法犯法，执法人员对受害人涉嫌故意伤害、非法拘禁。殴打成这个样子，这社会真是一点都没变，都怀疑民警和城管一个系统了。世界之大，天朝之下……	那么多人去报警，全都好好的，就这个去报警要被人围殴，很科学，你在现场吗，亲眼看过来龙去脉吗，乱传谣言要负法律责任。;被处理了吧，臭s逼。支持公安干警正常执法，保障公安干警合法合规行使执法权!希望有关领导不要因为舆论就随便处理一位优秀的警察!;深圳罗湖公安已就此事做过通报，只字未提打人细节也未公布相关视频。大家都散了吧，深圳罗湖公安微博下方数万条评论，舆论倒向如何点开评论一眼便知。;	rumor	2018/12/10 10:38
16	#善恶到头终有报# 杭州在不停止这种惨无人道的杀业报应马上就会到！！！做为中国人出国都抬不起头感觉就是种侮辱，生而为人，劝你们善良，学学强国是如何对待流浪动物的，看看中国，无一例外，都是当街！！活活打死！！@杭州余杭城管  @余杭公安  @中国政府网  @国防部发布  @杭州城管  @平安杭州  @杭州发布  文明需要进步而不是倒退，你们不应该出台禁止养犬条例，应该出台允许养犬条例，马路上流浪狗基本都是被没人性的前主人遗弃的中华田！这明明就是人的错！！中国法律不出台惩罚狗主人条例！！！非要对无辜的狗狗下手！！！简直无耻至极！！！我们呼吁动保立法呼吁出台《反对虐待动物法》宣传领养代替购买绝育代替捕杀抵制动物黑色产业链，禁食猫狗肉反对虐待、反对杀虐提倡文明养犬坚决反对残暴执法行为[加油]关爱动物，尊重生命忍住！别掉泪！2018.11.13杭州朝阳逸景苑视频禁止上传，动图像素原因，不清晰，但是这就是杭州--所谓的"天堂"。看不清视频中穿着制服的是城管，还是小区保安，打狗者身着便服，无论是谁、是否隶属于哪一个部门或是怎样，我问问你们！谁给你们的权力！当街杀狗？！旁人的尖叫，你们充耳不闻？！若小黑狗，有主有证，你是谁？凭什么？如果是未遵循"文明养犬"，是城管更不该如此执法！犬主责任，为何落到犬只身上！你家的狗会自己带牵引吗？是保安？是狗贩？那就问问杭州为何可以光天化日掠夺性命！还是说在杭州，无主无证的处理方式就是棒杀？杭州办犬证条件苛刻、强制规定遛狗时间、中华田园犬被归于烈性犬被禁养！甚至禁养犬种的繁衍犬，都是被禁养！合理吗？世界首创的奇葩遛狗时间，犬在这个与国际接轨的"天堂"，成为夜行动物。《杭州限制养犬条例》规定中，只有对狗的约束，丝毫未见一条是维护犬的生存权益的。犬主缴纳的费用，是为了用于给所养犬只取得合法身份，既然是合法就享有合法的权益，那么，杭州的犬只有哪方面合法权益可以受到保障？这些钱又是否真正用于狗的福利和保护上？一系列的犬证费用，管理费用，连最起码的犬证芯片都没有！请问杭州市城管局，是如何火眼金睛区分游走在街上的犬只是否办证？杭州市12345市长公开电话接线员，口口声声称犬主会去收容所寻找，请问，连芯片都没有的狗，城管如何联系到犬主？犬主如何到收容所接回犬只？接线员对于收容所位置、收容天数，再三推诿，含糊其辞，普通市民哪里来这么多电话打？除了这个电话，我们还可以像哪里开口诉说我们的委屈？全部推脱、微博禁上、视频功能被封等等等等... ...你们以为这样，恶行和滞后的条例就不会被世人知晓吗？杭州，除了抓，就是罚，要不就是杀，作为犬类管理，应该做点有『理』的举措？从源头管控犬患，长效治理而不是一刀切杀！将中华田园犬归于烈性犬的依据又是什么？众所周知田园犬属于中国本土犬种，是国犬，来自中国！而禁养和限养中却莫须有罪名强制被冠以烈性犬？要知道中华田园犬在国外性情温顺犬比赛中排名第四，怎么到了杭州就变成烈性了，那么，法律依据是什么？城管就最近热点问题召开记者新闻会（取消了之前的直接捕杀，直接没收等强硬执法方式，代之为暂扣，情节严重者没收的文明执法方式），这是值得	别现在道德制高点绑架别人，流浪狗绝大多数可能携带狂犬病，且，你能保证它不会攻击居民，要是有居民被咬伤？你们这样圣母出钱治疗？狂犬病致死你们赔偿？;	rumor	2018/11/15 5:17
17	文明执法？这就是你们的文明执法？一下又一下，为什么要如此残忍。明明已经没有反抗之力了，为什么要这么决绝？它们也是一条生命，它们也有生存的权利，狗狗被人类驯化于1.5万年前，至今陪伴了多少人度过了童年？又救过多少人于水深火热之中？它们没有发言权，难道它们连生存的权利也没有么？这发生在哪？        这发生在杭州，浙江省省会、中国一线城市、长江三角洲城市群中心城市、环杭州湾大湾区核心城市、杭州都市圈核心城市、沪嘉杭G60科创走廊中心城市、国际重要的电子商务中心，就是这么一个头衔众多的国际化大都市，竟然连它们生存的权利都要剥夺。这么一个一线大都市，连狗狗的生存空间都没有，即使你们要治理要整治，为何要用这么残忍的手段？人性何在？善良何在？文明又何在？口口声声文明执法，缺不断流出血腥，暴力的过程。这是看到的，那么我们看不到的时候呢？那恐怕更血腥，更暴力吧？@交通918徐琳  @交通918小麦  @杭州猫狗电台  @杭州交通918  @杭宠小哥哥  @爱宠物部落  @宠物领养  @宠物互助杭州站  @杭州宠物救助会  @杭州动物保护志愿者团队  @杭州iTA动保团队  @猫神传奇张先生  @陶十二  @乡村教师代言人-马云  @文艺泽  @1818黄金眼  @浙传流浪动物之家  @杭州发布  @央视新闻  @杭州城管	这是流浪狗吗？;你还要发哈哈哈哈;我已经查清，这根本就不是执法，请原博停止造谣;	rumor	2018/11/14 0:32
18	#杭州血腥打狗# @杭州城管@杭州城管 @杭州城管  不要装聋作哑了，做这样的事情不怕伤阴德吗	@杭州城管 @杭州 你们这么做事的吗？生而为人 没有人性？你们不得好死，下地狱去吧，下辈子投胎也是畜牲，问候你们全家;这就是杭州的文明治安？ 真棒！ 这么棒的对待希望下次降临在你们身上;好像不是网上说的城管打的。 评论配图;	rumor	2018/11/13 22:30
19	#杭州城管杀狗#这是杭州今天打的狗，大部分已经死了，还有看着遍地尸体的嗷嗷叫的奶狗，麻袋里还有狗在捶死挣扎。恳请大家投诉电话打起来！057112345 http	为什么洗白说是假的微博杭州本地人难道是假的吗那些视频假的吗那些为狗发声的杭州本地人难道是假的吗;看到不实的时候就能知道多血腥多暴力，要隐藏什么！;此生不会去杭州;	rumor	2018/11/10 23:23
20	【地狱空荡荡，魔鬼在人间】8月13日，广东东莞城管一拳打晕死女摊主，城管打人之后还恐吓她女儿说“跪在这里哭，你知道吗，你媽媽死啦” http	权力无论大小，有权就来欺下权力的付予者人民！而人民只能顺受，但这种顺受是有限度!;从小埋下了对“执法人员”仇恨的种子;回复@2011此情可待成追忆:保安;	rumor	2018/8/17 20:38
21	心中升起莫名的恨，禽兽穿戴衣冠的时候更加显露禽兽的本性！8月13日，广东东莞城管一拳打晕女摊主，城管打人之后还恐吓她女儿说“跪在这里哭，你知道吗，你妈死啦”！ http	众筹杀了他;是真的话，这货真不该活到明天。;我这有视频！城管可耻;	rumor	2018/8/17 20:45
22	@衡阳发布 @衡阳吃瓜兔子 这是衡阳城管？视频中 城管先动手 迷路的大魔王啊的微博视频	回复@雁城雄鹰81:保安被锅;人家雁峰区公安局通稿都出来了，保安打人被拘留5天;@文明湖南  这就是衡阳城管执法？好意思评选文明城市@今日衡阳  @衡阳城管  @衡阳身边事  @衡阳市公安局  请依法惩处;	rumor	2017/9/19 11:04
23	济南城管打人！哪来的底气这样执法？！ 觉皇莫莫的秒拍视频	@微博客服  麻烦帮忙删掉此条微博，谢谢;他这么想红 就帮帮他吧;断章取义 打人不对 商贩还有理了？;	rumor	2017/8/23 23:01
24	四棍子下去，一条人命就没了，城管特勤遭报复，上班玩手机被打死🙏 http	回复@PHUANG2013:死了就好，没死有点可惜…;回复@痴迷画笔:可惜呀，没打死…;回复@史海撷英:没死;	rumor	2017/5/10 3:20
25	#新闻之爆料人# 城管为什么被杀？答案在这里 http	气愤！人性都被泯灭了吗？中国泱泱五千年的大国，号称礼仪之邦，有这些人真丢人。;气愤！人性都被泯灭了吗？中国泱泱五千年的大国，号称礼仪之邦，有这些人真丢人。;没死吧;	rumor	2016/7/30 23:02
26	#老谈说事# 城管被杀的整个过程！  http	老百姓已经被城管逼的死都不怕了。;赞;好好好;	rumor	2016/7/28 16:13
27	#上海城管把商家打死#上海城管把学弟的亲舅妈打死！发生在学弟身上的真事！希望社会还个公道！	听他扯;啥呀 上海城管都没暴力执法过 咋一下子这么大一张锅;真的假的？;	rumor	2016/6/10 21:22
28	上海市闵行区颛桥镇沪闵路向阳路，辛苦农民摆摊卖菜，恶意城管不分青红皂白掀摊打人致死，事后逃逸，120医生到场宣布死亡，家人痛苦万分，只求大家帮忙转发🙏🙏🙏…（尤其上海的朋友）早日将黑心打人者绳之以法！！！	人在做天在看，不要以身试法，试图撞死市容管理人员，没想到撞死自己老娘;回复@期待油菜花开:笑死，你也快把你爹妈带上海来啊，一脚油门问ZF要钱吧，下辈子吃喝玩乐不愁，哈哈;明明是那男的自己要撞城管 结果把自己妈给撞死了 呵呵 现在倒反过来倒打一耙了 没看见就别乱传谣言;	rumor	2016/6/9 20:42
29	上海闵行区，颛桥，城管打死人了，你们媒体都瞎了吗，搞笑，，，就知道报告表面的//【生态红线今年全面收严 金山未来要建国家级海洋公园】  金山未来要建国家级海洋公园	图片评论 评论配图;	rumor	2016/6/10 22:13
30	上海颛桥城管暴力执法之人，死亡　没天理了	nan	rumor	2016/6/11 21:33
31	视频：上海市颛桥城管打死人了，求全国转发，求个工道。 http	把自己亲妈撞死怪国家怪政府咯？;//@安阳黑: 转发微博;我转载@苏远洪04939的@微博管理员 @微博小秘书;	rumor	2016/6/11 20:16
